event_id,waveform_file,station,origin_time,datetime,s_arrival_time,p_arrival_time,latitude,longitude,depth,back_azimuth,snr_horizontal,rectilinearity_jurkevics,incidence_eigenvalue_jurkevics,magnitude
86895,passing_waveforms_data/waveforms/event_2015-04-20T00:01:02.094589Z.mseed,AXEC2,2015-04-20T00:01:02.094589Z,2015-04-20T00:01:02.094589Z,1.655411,0.905411,45.933792,-130.021185,1.16875,260.635512808841,6.183766461594079,0.8656255208424634,5.908440814726237,0.0
86896,passing_waveforms_data/waveforms/event_2015-04-20T00:01:20.507997Z.mseed,AXEC2,2015-04-20T00:01:20.507997Z,2015-04-20T00:01:20.507997Z,1.007003,0.557003,45.950018,-129.992549,0.56875,309.05607485652473,3.778195195195157,0.954795845707991,8.978710372462187,0.0
86897,passing_waveforms_data/waveforms/event_2015-04-20T00:01:42.086476Z.mseed,AXEC2,2015-04-20T00:01:42.086476Z,2015-04-20T00:01:42.086476Z,1.598524,0.868524,45.936755,-130.019761,1.43125,265.52220671331816,7.0319306806265605,0.9797295563140604,8.823983835448775,0.0
86898,passing_waveforms_data/waveforms/event_2015-04-20T00:01:57.105395Z.mseed,AXEC2,2015-04-20T00:01:57.105395Z,2015-04-20T00:01:57.105395Z,1.419605,0.694605,45.940423,-129.998249,0.19375,273.2362722400346,6.669840796111647,0.9845738125262098,10.86830321699982,0.0
86899,passing_waveforms_data/waveforms/event_2015-04-20T00:02:38.390855Z.mseed,AXEC2,2015-04-20T00:02:38.390855Z,2015-04-20T00:02:38.390855Z,1.609145,0.889145,45.934004,-130.021083,1.1625,260.97141257447436,6.734582737732717,0.939397552014567,11.76109565379293,0.0
86902,passing_waveforms_data/waveforms/event_2015-04-20T00:04:13.748602Z.mseed,AXEC2,2015-04-20T00:04:13.748602Z,2015-04-20T00:04:13.748602Z,1.611398,0.886398,45.936473,-130.020573,1.49375,265.121392940397,6.508592709878243,0.984500348650658,12.056898385771992,0.0
86903,passing_waveforms_data/waveforms/event_2015-04-20T00:04:19.796830Z.mseed,AXEC2,2015-04-20T00:04:19.796830Z,2015-04-20T00:04:19.796830Z,1.57317,0.84817,45.938166,-130.018338,1.21875,267.944802695822,7.201818078854705,0.976229086643704,7.153796971677975,0.0
86905,passing_waveforms_data/waveforms/event_2015-04-20T00:04:50.381611Z.mseed,AXEC2,2015-04-20T00:04:50.381611Z,2015-04-20T00:04:50.381611Z,1.503389,0.818389,45.940706,-130.013668,0.79375,272.8472101237377,3.369977779641343,0.8482768833430473,7.464633125211469,0.0
86908,passing_waveforms_data/waveforms/event_2015-04-20T00:05:29.208468Z.mseed,AXEC2,2015-04-20T00:05:29.208468Z,2015-04-20T00:05:29.208468Z,1.431532,0.721532,45.940776,-129.997538,0.1375,274.52899045168124,4.745207620646768,0.7881761505431479,29.110779889903718,0.0
86909,passing_waveforms_data/waveforms/event_2015-04-20T00:05:49.012798Z.mseed,AXEC2,2015-04-20T00:05:49.012798Z,2015-04-20T00:05:49.012798Z,1.527202,0.817202,45.939083,-130.015395,0.9375,269.55597829780845,5.733891721745751,0.9546441824842401,9.822329911347538,0.0
86910,passing_waveforms_data/waveforms/event_2015-04-20T00:06:15.783713Z.mseed,AXEC2,2015-04-20T00:06:15.783713Z,2015-04-20T00:06:15.783713Z,1.561287,0.871287,45.93873,-130.010019,0.43125,268.582464951214,6.139078612169784,0.9393088432022696,19.329813168064785,0.0
86911,passing_waveforms_data/waveforms/event_2015-04-20T00:07:11.738410Z.mseed,AXEC2,2015-04-20T00:07:11.738410Z,2015-04-20T00:07:11.738410Z,1.54159,0.81159,45.939436,-130.015496,1.00625,270.25392789487154,6.265375590112463,0.9456646254411183,4.78119214154526,0.0
86913,passing_waveforms_data/waveforms/event_2015-04-20T00:09:08.690087Z.mseed,AXEC2,2015-04-20T00:09:08.690087Z,2015-04-20T00:09:08.690087Z,1.464913,0.744913,45.949242,-129.997116,0.1625,301.18404726923393,6.12818607994212,0.9520658897511893,12.401801895379315,0.0
86914,passing_waveforms_data/waveforms/event_2015-04-20T00:11:27.344737Z.mseed,AXEC2,2015-04-20T00:11:27.344737Z,2015-04-20T00:11:27.344737Z,0.850263,0.455263,45.928995,-129.979201,1.39375,200.14601246994891,3.927118001076707,0.9508188747607447,11.617436605249631,0.0
86915,passing_waveforms_data/waveforms/event_2015-04-20T00:12:08.288837Z.mseed,AXEC2,2015-04-20T00:12:08.288837Z,2015-04-20T00:12:08.288837Z,1.526163,0.841163,45.940564,-130.01448,0.80625,272.51862485314405,6.274500998910986,0.9240941626784339,4.572023190023669,0.0
86916,passing_waveforms_data/waveforms/event_2015-04-20T00:12:46.967402Z.mseed,AXEC2,2015-04-20T00:12:46.967402Z,2015-04-20T00:12:46.967402Z,1.357598,0.602598,45.939365,-129.995106,0.1125,269.53202668756796,3.99414352804493,0.8857375197417819,0.8430943950365825,0.0
86917,passing_waveforms_data/waveforms/event_2015-04-20T00:15:00.466298Z.mseed,AXEC2,2015-04-20T00:15:00.466298Z,2015-04-20T00:15:00.466298Z,1.603702,0.893702,45.941693,-130.010826,0.39375,275.1910548965333,4.051820812729112,0.7977258515893226,6.918085144694025,0.0
86918,passing_waveforms_data/waveforms/event_2015-04-20T00:15:11.861508Z.mseed,AXEC2,2015-04-20T00:15:11.861508Z,2015-04-20T00:15:11.861508Z,1.553492,0.818492,45.940706,-130.015697,0.85625,272.7447272528761,5.712299239371537,0.9190438135555354,8.112823753166102,0.0
86920,passing_waveforms_data/waveforms/event_2015-04-20T00:15:32.708441Z.mseed,AXEC2,2015-04-20T00:15:32.708441Z,2015-04-20T00:15:32.708441Z,1.251559,0.826559,45.939718,-130.017119,0.98125,270.8063777397118,3.1749714394344006,0.9256485922695363,16.762744487124106,0.0
86921,passing_waveforms_data/waveforms/event_2015-04-20T00:15:41.345561Z.mseed,AXEC2,2015-04-20T00:15:41.345561Z,2015-04-20T00:15:41.345561Z,1.524439,0.829439,45.940847,-130.015088,0.99375,273.0544691328023,6.517377506224202,0.9125783870673749,4.778837165628787,0.0
86922,passing_waveforms_data/waveforms/event_2015-04-20T00:16:00.385558Z.mseed,AXEC2,2015-04-20T00:16:00.385558Z,2015-04-20T00:16:00.385558Z,1.599442,0.859442,45.937743,-130.019354,1.41875,267.24655563347403,11.858470086154416,0.9770437161958749,10.193094413284012,0.0
86923,passing_waveforms_data/waveforms/event_2015-04-20T00:16:13.539876Z.mseed,AXEC2,2015-04-20T00:16:13.539876Z,2015-04-20T00:16:13.539876Z,1.605124,0.885124,45.940706,-130.012045,0.36875,272.9370585255177,7.042755316840209,0.9771992071138319,9.839325235062766,0.0
86924,passing_waveforms_data/waveforms/event_2015-04-20T00:16:25.515263Z.mseed,AXEC2,2015-04-20T00:16:25.515263Z,2015-04-20T00:16:25.515263Z,1.614737,0.849737,45.939859,-130.019148,1.09375,271.0583770817293,6.7723013280970275,0.9752867446876772,9.142745971779608,0.0
86926,passing_waveforms_data/waveforms/event_2015-04-20T00:16:44.443018Z.mseed,AXEC2,2015-04-20T00:16:44.443018Z,2015-04-20T00:16:44.443018Z,1.576982,0.806982,45.938448,-130.018947,1.26875,268.4943324558959,7.54469517348253,0.976536681421606,6.741661684703303,0.0
86927,passing_waveforms_data/waveforms/event_2015-04-20T00:17:02.995807Z.mseed,AXEC2,2015-04-20T00:17:02.995807Z,2015-04-20T00:17:02.995807Z,1.584193,0.839193,45.938448,-130.018541,1.14375,268.47404635257664,8.562756693325397,0.990141192945199,5.194549684246077,0.0
86928,passing_waveforms_data/waveforms/event_2015-04-20T00:17:10.856615Z.mseed,AXEC2,2015-04-20T00:17:10.856615Z,2015-04-20T00:17:10.856615Z,1.633385,0.903385,45.935626,-130.020777,1.64375,263.6829402256981,6.666257048379711,0.9850053765404865,10.290214221759573,0.0
86929,passing_waveforms_data/waveforms/event_2015-04-20T00:17:15.486041Z.mseed,AXEC2,2015-04-20T00:17:15.486041Z,2015-04-20T00:17:15.486041Z,1.638959,0.888959,45.937108,-130.021079,1.4875,266.2756434421027,8.64998101795676,0.9803412020273626,8.432405716221398,0.0
86935,passing_waveforms_data/waveforms/event_2015-04-20T00:19:29.524716Z.mseed,AXEC2,2015-04-20T00:19:29.524716Z,2015-04-20T00:19:29.524716Z,1.075284,0.565284,45.950723,-129.986866,1.69375,321.1934416090321,6.386659260659018,0.9726576370969671,9.835960017101543,0.0
86936,passing_waveforms_data/waveforms/event_2015-04-20T00:19:35.604508Z.mseed,AXEC2,2015-04-20T00:19:35.604508Z,2015-04-20T00:19:35.604508Z,1.035492,0.520492,45.946208,-129.991542,0.36875,298.54990876816447,6.900617559138622,0.9522003952414554,8.623888351752697,0.0
86937,passing_waveforms_data/waveforms/event_2015-04-20T00:19:51.124794Z.mseed,AXEC2,2015-04-20T00:19:51.124794Z,2015-04-20T00:19:51.124794Z,1.065206,0.565206,45.953404,-129.983613,1.55625,334.21017232589514,3.3058277342700717,0.9374095963673402,14.787675460641024,0.0
86939,passing_waveforms_data/waveforms/event_2015-04-20T00:20:20.979249Z.mseed,AXEC2,2015-04-20T00:20:20.979249Z,2015-04-20T00:20:20.979249Z,1.670751,0.565751,45.937178,-130.02118,1.81875,266.40572911050253,7.173740802482606,0.8292441067734422,8.291844799695257,0.0
86940,passing_waveforms_data/waveforms/event_2015-04-20T00:20:33.089961Z.mseed,AXEC2,2015-04-20T00:20:33.089961Z,2015-04-20T00:20:33.089961Z,1.650039,0.910039,45.938166,-130.022802,1.25625,268.19849950730696,9.701702104535308,0.9929545790561352,13.322138422043883,0.0
86941,passing_waveforms_data/waveforms/event_2015-04-20T00:20:51.501230Z.mseed,AXEC2,2015-04-20T00:20:51.501230Z,2015-04-20T00:20:51.501230Z,1.04377,0.54377,45.952275,-129.986254,1.45625,326.1279934352953,6.574727994370965,0.966796415138599,8.698101854760699,0.0
86943,passing_waveforms_data/waveforms/event_2015-04-20T00:21:05.370762Z.mseed,AXEC2,2015-04-20T00:21:05.370762Z,2015-04-20T00:21:05.370762Z,1.019238,0.514238,45.95157,-129.986458,1.25625,324.12745249540114,5.683558068872562,0.9501830555678886,7.186770007430119,0.0
86944,passing_waveforms_data/waveforms/event_2015-04-20T00:21:07.463199Z.mseed,AXEC2,2015-04-20T00:21:07.463199Z,2015-04-20T00:21:07.463199Z,1.251801,0.656801,45.949242,-129.995899,0.3875,302.54328735827823,4.421821815060035,0.9214890798330215,7.129978913732854,0.0
86945,passing_waveforms_data/waveforms/event_2015-04-20T00:21:16.328845Z.mseed,AXEC2,2015-04-20T00:21:16.328845Z,2015-04-20T00:21:16.328845Z,1.511155,1.026155,45.941411,-130.013464,0.75625,274.3140751649007,4.710251764546607,0.9541584074774602,3.963301086979539,0.0
86946,passing_waveforms_data/waveforms/event_2015-04-20T00:21:27.788052Z.mseed,AXEC2,2015-04-20T00:21:27.788052Z,2015-04-20T00:21:27.788052Z,0.831948,0.461948,45.948113,-129.983726,1.1375,321.3459963946966,4.574731355136188,0.8592448051718791,13.053667314532005,0.0
86948,passing_waveforms_data/waveforms/event_2015-04-20T00:21:39.152082Z.mseed,AXEC2,2015-04-20T00:21:39.152082Z,2015-04-20T00:21:39.152082Z,1.587918,0.817918,45.918201,-129.950933,2.4125,144.0696067136003,3.9314982806551857,0.9603086326453468,5.8837304382136635,0.0
86949,passing_waveforms_data/waveforms/event_2015-04-20T00:21:48.063396Z.mseed,AXEC2,2015-04-20T00:21:48.063396Z,2015-04-20T00:21:48.063396Z,1.446604,0.886604,45.941834,-130.012246,0.74375,275.32618219915946,2.3760232347127337,0.9507149882185232,13.288698083251328,0.0
86950,passing_waveforms_data/waveforms/event_2015-04-20T00:22:01.430194Z.mseed,AXEC2,2015-04-20T00:22:01.430194Z,2015-04-20T00:22:01.430194Z,1.584806,0.849806,45.934639,-130.019358,1.25625,261.7222709702909,6.997121724840681,0.8195527319210187,9.329417792381276,0.0
86953,passing_waveforms_data/waveforms/event_2015-04-20T00:22:44.751283Z.mseed,AXEC2,2015-04-20T00:22:44.751283Z,2015-04-20T00:22:44.751283Z,1.583717,0.853717,45.937601,-130.019354,1.26875,266.99157977186337,6.6244331541083605,0.983792123814651,10.194330837504646,0.0
86954,passing_waveforms_data/waveforms/event_2015-04-20T00:22:50.488197Z.mseed,AXEC2,2015-04-20T00:22:50.488197Z,2015-04-20T00:22:50.488197Z,1.736803,0.946803,45.932875,-130.021491,2.3375,259.1754420641596,5.573050264861405,0.7618464377855176,27.20632875503562,0.0
86955,passing_waveforms_data/waveforms/event_2015-04-20T00:22:57.396702Z.mseed,AXEC2,2015-04-20T00:22:57.396702Z,2015-04-20T00:22:57.396702Z,2.308298,1.208298,45.973792,-130.015342,0.9125,320.3792542713063,2.2993821024311303,0.9338542995272495,11.351127872820488,0.0
