event_id,waveform_file,station,origin_time,datetime,s_arrival_time,p_arrival_time,latitude,longitude,depth,back_azimuth,snr_horizontal,rectilinearity_jurkevics,incidence_eigenvalue_jurkevics,magnitude
75872,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:01:42.087000Z.mseed,AXEC2,2015-04-20T00:01:42.087000Z,2015-04-20T00:01:42.087000Z,1.62,0.89,45.93815,-130.01887,1.265,267.94856635699455,6.318548381470305,0.9643608731680854,9.8021215758962,0.1
75873,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:01:56.929000Z.mseed,AXEC2,2015-04-20T00:01:56.929000Z,2015-04-20T00:01:56.929000Z,1.64,0.92,45.9379,-130.01926,1.306,267.522014965798,5.725480812387087,0.9538644483851892,11.159700758003481,0.2
75874,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:02:38.398000Z.mseed,AXEC2,2015-04-20T00:02:38.398000Z,2015-04-20T00:02:38.398000Z,1.63,0.91,45.93429,-130.01886,1.241,261.00531581922985,5.8659455534561324,0.9224969848387616,9.961404189342968,0.1
75875,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:04:13.769999Z.mseed,AXEC2,2015-04-20T00:04:13.769999Z,2015-04-20T00:04:13.769999Z,1.55,0.83,45.93812,-130.0189,1.303,267.8959188615461,6.436244943589855,0.9826930962089999,10.822225897289359,0.1
75880,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:05:48.947000Z.mseed,AXEC2,2015-04-20T00:05:48.947000Z,2015-04-20T00:05:48.947000Z,1.59,0.87,45.93824,-130.01875,1.263,268.1052086765377,5.906258659962402,0.961858498105959,9.753450019942457,-0.0
75881,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:07:11.676000Z.mseed,AXEC2,2015-04-20T00:07:11.676000Z,2015-04-20T00:07:11.676000Z,1.53,1.13,45.93832,-130.01906,1.267,268.2680513317067,4.427707358970254,0.956314679764307,5.951993153554638,-0.0
75888,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:15:32.656999Z.mseed,AXEC2,2015-04-20T00:15:32.656999Z,2015-04-20T00:15:32.656999Z,1.64,0.91,45.93881,-130.01862,1.203,269.14055782068357,4.118149520706028,0.9552409686786801,16.812227381916824,0.1
75890,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:16:00.368000Z.mseed,AXEC2,2015-04-20T00:16:00.368000Z,2015-04-20T00:16:00.368000Z,1.68,0.91,45.93814,-130.02017,1.339,268.00883325508494,7.766528467906364,0.9747068846778439,10.701990943535494,0.8
75891,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:16:13.544999Z.mseed,AXEC2,2015-04-20T00:16:13.544999Z,2015-04-20T00:16:13.544999Z,1.57,0.82,45.93854,-130.01919,1.267,268.67252315204,7.492961043497891,0.8832399025369215,21.208078685281315,0.1
75892,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:16:25.527999Z.mseed,AXEC2,2015-04-20T00:16:25.527999Z,2015-04-20T00:16:25.527999Z,1.62,0.91,45.9386,-130.02023,1.282,268.82463545974457,5.191921408779976,0.959042407003857,11.375739556331602,0.1
