event_id,datetime,phi,dt,phi_error,dt_error,quality,success
96_23750,2015-03-10T17:19:04.000000Z,4.146864152801186,0.13,47.0,0.05,0.0,True
96_23751,2015-03-10T17:19:42.389000Z,88.64350527722206,0.02,47.0,0.1,0.5472307430931291,True
96_23752,2015-03-10T17:20:04.680000Z,12.101093865195594,0.14,7.0,0.005,0.0,True
96_23753,2015-03-10T17:20:10.576000Z,-67.57144732000592,0.05,6.0,0.005,0.16718534660251072,True
96_23754,2015-03-10T17:20:15.742000Z,-76.61299546495837,0.05,51.0,0.11,-0.9214325798681613,True
96_23755,2015-03-10T17:20:22.120000Z,-84.40826773287023,0.02,5.0,0.005,0.9685730319472645,True
96_23757,2015-03-10T17:20:32.543000Z,4.659959644707186,0.23,62.0,0.1,0.7507686441120808,True
96_23759,2015-03-10T17:20:46.258000Z,-52.906271661862206,0.03,12.0,0.005,0.6071628993408069,True
96_23760,2015-03-10T17:20:57.206000Z,-68.47899311003692,0.02,28.0,0.01,0.7485842555781164,True
96_23761,2015-03-10T17:21:03.226000Z,22.171885817267025,0.03,71.0,0.12,1.0,True
96_23762,2015-03-10T17:21:15.257000Z,89.15528858039892,0.02,3.0,0.005,1.0,True
96_23763,2015-03-10T17:21:25.171000Z,89.23055379204283,0.02,4.0,0.005,0.9685730319472645,True
96_23765,2015-03-10T17:22:07.602000Z,-38.13511520855957,0.03,26.0,0.005,-0.7637745374947855,True
96_23766,2015-03-10T17:22:42.520000Z,13.673579363434044,0.13,49.0,0.05,0.0,True
96_23767,2015-03-10T17:22:54.574000Z,-77.15165272099762,0.03,64.0,0.115,0.9057190958417937,True
96_23768,2015-03-10T17:23:30.592000Z,-84.23859778556505,0.06,3.0,0.005,-0.7014438034990133,True
96_23769,2015-03-10T17:24:00.880000Z,85.14768685397496,0.03,52.0,0.115,-0.8900056118154259,True
96_23771,2015-03-10T17:24:20.266000Z,7.54706145790658,0.18,54.0,0.125,-0.7642977396044841,True
96_23772,2015-03-10T17:24:25.389000Z,-2.9600676521902756,0.02,51.0,0.095,0.9371460638945291,True
96_23773,2015-03-10T17:24:36.086000Z,-87.25467096002791,0.04,54.0,0.12,-0.8271516757099551,True
96_23774,2015-03-10T17:24:42.634000Z,13.389529759554136,0.17,5.0,0.005,0.0,True
96_23775,2015-03-10T17:24:47.414000Z,-80.15967023642776,0.05,5.0,0.005,-0.9528595479208969,True
96_23776,2015-03-10T17:24:52.656000Z,9.909983583560702,0.13,48.0,0.045,0.0,True
96_23777,2015-03-10T17:25:25.280000Z,-11.76802499125759,0.12,58.0,0.025,-0.7264488221308849,True
96_23778,2015-03-10T17:25:30.802000Z,-86.74818120095802,0.04,3.0,0.005,-0.7328707715517487,True
96_23779,2015-03-10T17:25:53.680000Z,10.13290859926235,0.15,49.0,0.035,0.0,True
96_23780,2015-03-10T17:26:12.708000Z,83.42047913702561,0.03,6.0,0.005,0.0,True
96_23781,2015-03-10T17:26:42.760000Z,81.83782026368709,0.03,22.0,0.005,0.6228763833671747,True
96_23782,2015-03-10T17:27:31.080000Z,-79.37187847819501,0.03,51.0,0.125,0.9685730319472645,True
96_23783,2015-03-10T17:28:02.775000Z,68.24427335053821,0.02,18.0,0.05,-0.7642977396044841,True
96_23784,2015-03-10T17:28:17.091000Z,79.00612328045463,0.01,49.0,0.095,0.9685730319472645,True
96_23786,2015-03-10T17:28:30.098000Z,66.05811146948918,0.03,15.0,0.005,-0.5443089632353362,True
96_23788,2015-03-10T17:28:43.520000Z,8.306837646003657,0.16,55.0,0.13,0.0,True
96_23789,2015-03-10T17:28:50.080000Z,-80.56621075963528,0.05,4.0,0.005,-0.9214325798681613,True
96_23790,2015-03-10T17:28:59.432000Z,-13.419302420986355,0.18,51.0,0.04,0.0,True
96_23791,2015-03-10T17:29:10.400000Z,-77.56019962506912,0.09,53.0,0.03,0.0,True
96_23792,2015-03-10T17:29:27.200000Z,57.93739274055065,0.03,9.0,0.005,-0.38717412297165876,True
96_23793,2015-03-10T17:29:31.240000Z,-40.29482949683404,0.03,54.0,0.13,0.0,True
96_23794,2015-03-10T17:30:18.099000Z,87.96565673009843,0.02,61.0,0.095,0.0,True
96_23795,2015-03-10T17:30:38.796000Z,-79.30985958512315,0.05,2.0,0.005,-0.9214325798681613,True
96_23797,2015-03-10T17:31:02.592000Z,-75.83527489245603,0.01,49.0,0.085,-0.8271516757099551,True
96_23798,2015-03-10T17:31:18.222000Z,8.943255286939007,0.14,5.0,0.005,0.0,True
96_23799,2015-03-10T17:31:40.200000Z,58.98050698381638,0.03,13.0,0.01,-0.7014438034990133,True
96_23800,2015-03-10T17:31:48.426000Z,65.08034950306342,0.03,12.0,0.005,-0.6385898673935424,True
96_23801,2015-03-10T17:32:00.999000Z,13.241677481357556,0.16,5.0,0.005,-0.7957247076572196,True
96_23803,2015-03-10T17:32:27.276000Z,57.566049735703245,0.02,20.0,0.025,-0.7957247076572196,True
96_23804,2015-03-10T17:32:51.120000Z,64.41224602175168,0.02,18.0,0.005,0.0,True
96_23805,2015-03-10T17:33:01.476000Z,-81.82931349969431,0.02,12.0,0.01,0.5835926733012553,True
96_23806,2015-03-10T17:33:16.680000Z,-38.26322754656945,0.03,59.0,0.13,0.0,True
96_23807,2015-03-10T17:33:34.687000Z,59.794491168436366,0.03,7.0,0.005,0.9685730319472645,True
96_23810,2015-03-10T17:33:53.320000Z,56.07291397626216,0.1,55.0,0.09,-0.9842865159736324,True
96_23812,2015-03-10T17:34:08.280000Z,-48.869461507662095,0.03,19.0,0.005,0.17973205220925548,True
96_23813,2015-03-10T17:34:15.662000Z,61.762143664080895,0.1,56.0,0.13,0.053922979670755544,True
96_23816,2015-03-10T17:35:05.680000Z,62.058005554205465,0.03,54.0,0.14,-0.7642977396044841,True
96_23817,2015-03-10T17:35:16.220000Z,62.49409328478703,0.03,10.0,0.005,0.9371460638945291,True
96_23818,2015-03-10T17:35:20.880000Z,64.11151050527366,0.1,54.0,0.115,-0.8585786437626906,True
96_23820,2015-03-10T17:35:49.473000Z,-84.35629494882511,0.05,3.0,0.005,-0.9528595479208969,True
96_23821,2015-03-10T17:36:20.251000Z,-39.41557735778963,0.03,53.0,0.04,0.0,True
96_23822,2015-03-10T17:36:27.756000Z,-15.783529227024985,0.16,52.0,0.025,0.0,True
