event_id,waveform_file,station,datetime,s_arrival_time,p_arrival_time,latitude,longitude,depth,back_azimuth,magnitude,snr_horizontal,rectilinearity_jurkevics,incidence_p_jurkevics,incidence_eigenvalue_s,incidence_pykonal_s
1,waveforms/event_2015-01-22T00-11-48.772000Z.mseed,AXEC2,2015-01-22T00:11:48.772000Z,1.648,0.818,45.941242,-130.013107,0.505,273.99474210790527,0.0,3.605482590572076,0.7209316202379383,34.60655381095754,5.517398304852781,18.10288379169059
2,waveforms/event_2015-01-22T02-02-41.045000Z.mseed,AXEC2,2015-01-22T02:02:41.045000Z,1.605,0.855,45.941704,-130.012985,0.529,274.96895848570966,0.0,4.5631557073175575,0.8392252905095154,2.4719696961122417,3.4838241044940617,15.052438513945766
5,waveforms/event_2015-01-22T02-36-07.029000Z.mseed,AXEC2,2015-01-22T02:36:07.029000Z,1.361,0.421,45.959137,-129.992798,1.637,326.46156146977137,0.0,4.286489914934399,0.8558898678132014,69.74106011614714,0.8888290452800742,13.661155217661348
6,waveforms/event_2015-01-22T02-39-20.772000Z.mseed,AXEC2,2015-01-22T02:39:20.772000Z,0.918,0.458,45.944874,-129.990936,0.634,294.2296007605017,0.0,3.800761926792195,0.9574387692459171,8.107061252217113,2.433252652684198,16.569484227424176
7,waveforms/event_2015-01-22T02-41-52.308000Z.mseed,AXEC2,2015-01-22T02:41:52.308000Z,1.772,0.222,45.969482,-129.999695,1.861,329.49974303975165,0.0,3.494786214935753,0.7777490977201262,42.68900377114521,10.235905612447379,15.591621231912928
8,waveforms/event_2015-01-22T02-42-34.067000Z.mseed,AXEC2,2015-01-22T02:42:34.067000Z,0.933,0.473,45.945049,-129.990891,0.894,294.98735730639214,0.0,3.7521285681277066,0.9778871832838165,8.802253994737589,4.8993694830300445,18.179209469286327
9,waveforms/event_2015-01-22T02-50-16.026000Z.mseed,AXEC2,2015-01-22T02:50:16.026000Z,1.524,0.764,45.963005,-129.998108,1.457,324.70581127383787,0.0,7.542423056147344,0.9665422645628061,8.705884961861681,2.4048912698858174,14.640102238756544
10,waveforms/event_2015-01-22T02-59-40.870000Z.mseed,AXEC2,2015-01-22T02:59:40.870000Z,0.93,0.47,45.944847,-129.991104,0.631,293.9176182877403,0.0,3.451372246826739,0.9813738687694461,9.7717915703144,4.8040433634765405,19.018448124446838
12,waveforms/event_2015-01-22T03-01-31.660000Z.mseed,AXEC2,2015-01-22T03:01:31.660000Z,1.26,0.64,45.950054,-129.99675,0.45,303.67487184846,0.0,8.743207795359869,0.9817883456156915,4.970069141066984,3.1991653477602418,20.74380322136114
13,waveforms/event_2015-01-22T03-37-40.693000Z.mseed,AXEC2,2015-01-22T03:37:40.693000Z,1.617,0.897,45.94381,-130.01825,0.824,278.319943766484,0.0,2.998047214221349,0.9610611887793812,17.963199995057224,1.740890381104406,14.153037339029416
